name,year,rating,genre,description
Eternal Sunshine of the Spotless Mind,2004,8.3,"Drama, Romance, Sci-Fi","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
Speed 2: Cruise Control,1997,3.9,"Action, Adventure, Crime",A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.
Fifty Shades Darker,2017,4.6,"Drama, Romance","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her."
Ah-ga-ssi,2016,8.1,"Drama, Romance, Thriller","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
The Proposal,I 2009,6.7,"Comedy, Drama, Romance",A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.
In the Heights,2021,7.3,"Drama, Musical, Romance","A film version of the Broadway musical in which Usnavi, a sympathetic New York bodega owner, saves every penny every day as he imagines and sings about a better life."
The Princess Bride,1987,8.0,"Adventure, Family, Fantasy","While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
Out of Africa,1985,7.2,"Biography, Drama, Romance","In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter."
10 Things I Hate About You,1999,7.3,"Comedy, Drama, Romance","A pretty, popular teenager can't go out on a date until her ill-tempered older sister does."
Unfaithful,2002,6.7,"Drama, Romance, Thriller",A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.
After,I 2019,5.4,"Drama, Romance",A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.
Her,2013,8.0,"Drama, Romance, Sci-Fi","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
The King,I 2019,7.3,"Biography, Drama, History","Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life."
Call Me by Your Name,2017,7.9,"Drama, Romance","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
Fiddler on the Roof,1971,8.0,"Drama, Family, Musical","In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
The Shape of Water,2017,7.3,"Drama, Fantasy, Romance","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
Atonement,2007,7.8,"Drama, Mystery, Romance",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
Shrek,2001,7.9,"Animation, Adventure, Comedy","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
Clueless,1995,6.9,"Comedy, Romance","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
The Girl Next Door,2004,6.7,"Comedy, Drama, Romance",A teenager's dreams come true when a former porn star moves in next door and they fall in love.
Dirty Dancing,I 1987,7.0,"Drama, Music, Romance","Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle."
My Girl,1991,6.9,"Comedy, Drama, Family","A young girl, on the threshold of her teen years, finds her life turning upside down, when she is accompanied by an unlikely friend."
Dracula,1992,7.4,"Drama, Fantasy, Horror",The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.
Pitch Perfect,2012,7.2,"Comedy, Music, Romance","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
Just Like Heaven,2005,6.7,"Comedy, Drama, Fantasy",A lonely landscape architect falls for the spirit of the beautiful woman who used to live in his new apartment.
Shrek 2,2004,7.3,"Animation, Adventure, Comedy","Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be."
The Dreamers,2003,7.2,"Drama, Romance",A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.
Stardust,2007,7.6,"Adventure, Family, Fantasy","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
Don Jon,2013,6.6,"Comedy, Drama, Romance","A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love."
La vie d'Adèle,2013,7.7,"Drama, Romance","Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
Malèna,2000,7.5,"Drama, Romance, War","Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town."
The Blue Lagoon,1980,5.8,"Adventure, Drama, Romance","In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene."
Grease,1978,7.2,"Comedy, Musical, Romance","Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
Emma.,2020,6.7,"Comedy, Drama, Romance","In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends."
13 Going on 30,2004,6.2,"Comedy, Fantasy, Romance","A girl makes a wish on her thirteenth birthday, and wakes up the next day as a thirty-year-old woman."
The Great Gatsby,2013,7.2,"Drama, Romance","A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
Swiss Army Man,2016,6.9,"Comedy, Drama, Fantasy","A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home."
La La Land,2016,8.0,"Comedy, Drama, Music","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Silver Linings Playbook,2012,7.7,"Comedy, Drama, Romance","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
Midnight in Paris,2011,7.7,"Comedy, Fantasy, Romance","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
Romeo + Juliet,1996,6.8,"Drama, Romance",Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.
Beauty and the Beast,I 2017,7.1,"Adventure, Family, Fantasy","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
Wedding Crashers,2005,7.0,"Comedy, Romance","John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary."
Downton Abbey,2019,7.4,"Drama, Romance","The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early twentieth century."
True Romance,1993,7.9,"Crime, Drama, Romance","In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
Moulin Rouge!,2001,7.6,"Drama, Musical, Romance",A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star whom a jealous duke covets.
The Lobster,2015,7.1,"Comedy, Drama, Romance","In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods."
Love & Other Drugs,2010,6.7,"Comedy, Drama, Romance","In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease."
The Notebook,2004,7.8,"Drama, Romance","A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences."
Leaving Las Vegas,1995,7.5,"Drama, Romance","Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
Crazy Rich Asians,2018,6.9,"Comedy, Drama, Romance","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family."
A Star Is Born,2018,7.6,"Drama, Music, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
The Piano,1993,7.5,"Drama, Music, Romance","In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker."
About Time,I 2013,7.8,"Comedy, Drama, Fantasy","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
Les Misérables,2012,7.6,"Drama, Musical, Romance","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
After We Collided,2020,5.3,"Drama, Romance","Based on the 2014 romance novel of the same name, this follows the love life of two young adults."
Legally Blonde,2001,6.4,"Comedy, Romance","Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks."
La vita è bella,1997,8.6,"Comedy, Drama, Romance","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
Cashback,2006,7.1,"Comedy, Drama, Romance","After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild."
Brokeback Mountain,2005,7.7,"Drama, Romance",Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
Love Actually,2003,7.6,"Comedy, Drama, Romance","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Body Heat,1981,7.4,"Crime, Drama, Romance","In the midst of a searing Florida heat wave, a woman persuades her lover, a small-town lawyer, to murder her rich husband."
The Ballad of Buster Scruggs,2018,7.3,"Comedy, Drama, Musical","Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters."
The Age of Adaline,2015,7.2,"Drama, Fantasy, Romance","A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."
The Perks of Being a Wallflower,2012,8.0,"Drama, Romance",An introvert freshman is taken under the wings of two seniors who welcome him to the real world.
The Parent Trap,1998,6.6,"Adventure, Comedy, Drama","Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, later discover each other for the first time at summer camp and make a plan to bring their wayward parents back together."
Phantom Thread,2017,7.4,"Drama, Romance","Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover."
Fifty Shades Freed,2018,4.5,"Drama, Romance, Thriller","Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship."
Scott Pilgrim vs. the World,2010,7.6,"Action, Comedy, Fantasy","In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart."
"Crazy, Stupid, Love.",2011,7.4,"Comedy, Drama, Romance","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
Passengers,I 2016,7.0,"Drama, Romance, Sci-Fi",A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.
Secretary,2002,6.9,"Comedy, Drama, Romance","A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one."
Big,1988,7.3,"Comedy, Drama, Fantasy","After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult."
Cinderella,I 2015,6.9,"Adventure, Drama, Family","When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
This Is 40,2012,6.2,"Comedy, Romance","Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart."
Just Go with It,2011,6.4,"Comedy, Romance","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
17 Again,2009,6.4,"Comedy, Drama, Fantasy",Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.
Pretty Woman,1990,7.1,"Comedy, Romance","A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
The 40 Year Old Virgin,2005,7.1,"Comedy, Romance","Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother."
The Legend of Tarzan,2016,6.2,"Action, Adventure, Drama","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
Sweet Home Alabama,2002,6.2,"Comedy, Romance",A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.
Easy A,2010,7.0,"Comedy, Drama, Romance",A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.
The Sound of Music,1965,8.1,"Biography, Drama, Family",A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
Me Before You,2016,7.4,"Drama, Romance",A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
Sex Tape,2014,5.1,"Comedy, Romance","A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts."
Casablanca,1942,8.5,"Drama, Romance, War",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
The Graduate,1967,8.0,"Comedy, Drama, Romance",A disillusioned college graduate finds himself torn between his older lover and her daughter.
Willow,1988,7.2,"Action, Adventure, Drama",A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.
Kimi no na wa.,2016,8.4,"Animation, Drama, Fantasy","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
Gone with the Wind,1939,8.2,"Drama, History, Romance",The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.
Aladdin,2019,6.9,"Adventure, Comedy, Family",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
The Curious Case of Benjamin Button,2008,7.8,"Drama, Fantasy, Romance","Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
Open Range,2003,7.4,"Action, Drama, Romance",A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.
Steel Magnolias,1989,7.3,"Comedy, Drama, Romance","A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold."
Robin Hood: Men in Tights,1993,6.7,"Adventure, Comedy, Musical","A spoof of Robin Hood in general, and Robin Hood: Prince of Thieves (1991) in particular."
As Good as It Gets,1997,7.7,"Comedy, Drama, Romance","A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
Empire Records,1995,6.7,"Comedy, Drama, Music",Twenty-four hours in the lives of the young employees at Empire Records when they all grow up and become young adults thanks to each other and the manager. They all face the store joining a chain store with strict rules.
Mamma Mia!,2008,6.5,"Comedy, Musical, Romance",The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.
Cinderella,I 2021,4.3,"Comedy, Family, Fantasy","A modern movie musical with a bold take on the classic fairy tale. Our ambitious heroine has big dreams and with the help of her fab Godmother, she perseveres to make them come true."
LOL,2012,4.4,"Comedy, Drama, Romance","As a new year at school begins, Lola's heart is broken by her boyfriend, though soon she's surprised by her best friend, promising musician Kyle, who reveals his feelings for her."
Moonrise Kingdom,2012,7.8,"Comedy, Drama, Romance","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
Hercules,1997,7.3,"Animation, Adventure, Comedy",The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
Indecent Proposal,1993,6.0,"Drama, Romance","A billionaire offers $1,000,000 to a young married couple for one night with the wife."
Cruel Intentions,1999,6.8,"Drama, Romance",Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.
The Virgin Suicides,1999,7.2,"Drama, Romance","A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s."
Tangled,2010,7.8,"Animation, Adventure, Comedy","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
Le fabuleux destin d'Amélie Poulain,2001,8.3,"Comedy, Romance","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
Yesterday,III 2019,6.8,"Comedy, Fantasy, Music",A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.
Footloose,1984,6.6,"Drama, Music, Romance","A city teenager moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace."
Palm Springs,2020,7.4,"Comedy, Fantasy, Mystery","Stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again."
(500) Days of Summer,2009,7.7,"Comedy, Drama, Romance","After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
Coming to America,1988,7.1,"Comedy, Romance","An extremely pampered African prince travels to Queens, New York, and goes undercover to find a wife that he can respect for her intelligence and strong will."
The Reader,2008,7.6,"Drama, Romance","Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial."
The Twilight Saga: Breaking Dawn - Part 2,2012,5.6,"Adventure, Drama, Fantasy","After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
Big Fish,2003,8.0,"Adventure, Drama, Fantasy",A frustrated son tries to determine the fact from fiction in his dying father's life.
Legends of the Fall,1994,7.5,"Drama, Romance, War","In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war."
Monster's Ball,2001,7.1,"Drama, Romance","After a family tragedy, a racist prison guard re-examines his attitudes while falling in love with the African-American wife of the last prisoner he executed."
Can't Buy Me Love,1987,6.8,"Comedy, Drama, Romance",An outcast secretly pays the most popular girl in school one thousand dollars to pretend to be his girlfriend for a month.
Bridesmaids,I 2011,6.8,"Comedy, Romance","Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
Maleficent,2014,7.0,"Adventure, Family, Fantasy","A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land."
Nine 1/2 Weeks,1986,5.9,"Drama, Romance",A woman becomes involved with a man she barely knows. Complications develop during their sexual escapades.
Sense and Sensibility,1995,7.7,"Drama, Romance","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
The Beach,I 2000,6.6,"Adventure, Drama, Romance","On vacation in Thailand, Richard sets out for an island rumored to be a solitary beach paradise."
King Kong,2005,7.2,"Action, Adventure, Drama","A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives."
The English Patient,1996,7.4,"Drama, Romance, War","At the close of World War II, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair."
She's All That,1999,5.9,"Comedy, Romance",A high school jock makes a bet that he can turn an unattractive girl into the school's prom queen.
Ultimo tango a Parigi,1972,6.9,"Drama, Romance",A young Parisian woman meets a middle-aged American businessman who demands their clandestine relationship be based only on sex.
Romancing the Stone,1984,6.9,"Action, Adventure, Comedy","A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue."
Sixteen Candles,1984,7.0,"Comedy, Romance","A girl's ""sweet"" sixteenth birthday becomes anything but special, as she suffers from every embarrassment possible."
Gehraiyaan,2022,6.1,"Drama, Romance",Takes you on a journey into the deep rooted intricacies of modern human relationships.
Marriage Story,2019,7.9,"Drama, Romance",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
Cast Away,2000,7.8,"Adventure, Drama, Romance",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
Beauty and the Beast,1991,8.1,"Animation, Family, Fantasy",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
